,timestamp,gateway_fanout-1,gateway_fanout-2,gateway_fanout-3,gateway_fanout-4,gateway_fanout-5,fanout-1_fanout-db,fanout-2_fanout-db,fanout-3_fanout-db,fanout-4_fanout-db,fanout-5_fanout-db
0,2022-09-28 23:32:09,6893.939393939394,6171.875,4161.290322580644,6785.714285714285,6120.689655172414,0.5916,0.5597333333333333,0.6019333333333333,0.6122666666666666,0.5916
1,2022-09-28 23:32:23,7093.023255813953,6923.076923076924,4354.838709677419,6774.193548387097,6666.666666666666,0.5967666666666667,0.6019333333333333,0.5864333333333334,0.5915999999999999,0.6019333333333333
2,2022-09-28 23:32:37,7375.0,6710.526315789473,3971.4285714285716,7142.857142857143,7272.727272727273,0.5984888888888888,0.5878666666666666,0.5984888888888888,0.591573710171977,0.6053777777777777
3,2022-09-28 23:32:51,6987.179487179487,6858.974358974359,4161.290322580644,6937.5,6824.324324324324,0.59935,0.5864333333333334,0.5916,0.5889678917738205,0.5993499999999999
4,2022-09-28 23:33:05,7446.808510638299,6710.526315789473,3702.7027027027025,7051.282051282051,6617.647058823529,0.5936666666666667,0.58316,0.5854,0.5833316992143215,0.5936666666666667
5,2022-09-28 23:33:19,7302.631578947368,6742.424242424242,3969.696969696969,6875.0,6484.375,0.5898587504721278,0.5847111111111111,0.5898777777777777,0.58643197156749,0.5916
6,2022-09-28 23:33:33,6796.875,6689.189189189188,3833.3333333333335,6696.428571428572,6500.0,0.5871714350963811,0.5858190476190476,0.5871714285714286,0.587170261343563,0.5915999999999999
7,2022-09-28 23:33:47,6796.875,6689.189189189188,3833.3333333333335,6696.428571428572,6500.0,0.5903083390426669,0.58385,0.5877249999999999,0.586432312008951,0.5903083333333333
8,2022-09-28 23:34:01,7261.9047619047615,7125.0,4846.153846153847,7179.487179487179,6666.666666666667,0.5881555606305188,0.5859555555555556,0.5893037037037038,0.5847102032672156,0.5881555555555555
9,2022-09-28 23:34:15,7261.9047619047615,7065.217391304348,4176.470588235295,6527.777777777777,7065.217391304348,0.5885000045674669,0.5864333333333334,0.5905666666666667,0.5874658496071608,0.5936666666666667
10,2022-09-28 23:34:29,7058.823529411766,7195.121951219512,4310.3448275862065,8099.999999999998,6893.939393939395,0.588753153987482,0.5860424242424243,0.5897212121212121,0.5897204693398431,0.590660606060606
11,2022-09-28 23:34:43,6907.894736842105,6824.324324324324,4312.5,75000.0,7023.809523809524,0.58815512790368,0.5864333333333334,0.5898777777777777,0.589015985783745,0.5907388888888888
12,2022-09-28 23:34:57,7013.88888888889,6838.235294117647,4241.379310344827,75000.0,7187.5,0.58815512790368,0.587438888888889,0.5872944444444445,0.5881548746726339,0.5890166666666666
