carts-db,"('user', 0.36966898562000255)","('carts', 0.34929976437999727)","('orders', 0.1420949598306521)","('front-end', 0.13893629016934786)","('carts-db', 0.0)","('user-db', 0.0)"

carts,"('carts', 0.3609131423588732)","('user', 0.35805560764112676)","('front-end', 0.15063377852507895)","('orders', 0.13039747147492103)","('user-db', 0.0)","('carts-db', 0.0)"

catalogue-db,"('front-end', 0.5386290038964844)","('catalogue', 0.4613709961035156)","('catalogue-db', 0.0)"

catalogue,"('orders', 0.3029513555492746)","('catalogue', 0.24674937810650377)","('front-end', 0.17917936247509667)","('user', 0.1360574598702721)","('carts', 0.13506244399885284)","('orders-db', 0.0)","('shipping', 0.0)","('payment', 0.0)","('user-db', 0.0)","('catalogue-db', 0.0)","('carts-db', 0.0)"

front-end,"('front-end', 0.5054347486946076)","('orders', 0.3310438445395278)","('user', 0.1731569784407583)","('rabbitmq', 0.0)","('user-db', 0.0)","('orders-db', 0.0)","('payment', 0.0)","('carts', 0.0)","('shipping', -0.009635571674893761)"

orders-db

orders,"('payment', 0.4712390934397808)","('front-end', 0.31454814933634817)","('shipping', 0.20887006371610992)","('orders', 0.06049146019419818)","('user', 0.05189511486826333)","('carts-db', 0.0)","('orders-db', 0.0)","('user-db', 0.0)","('rabbitmq', 0.0)","('carts', -0.10704388155470054)"

payment,"('payment', 0.35915239947188593)","('front-end', 0.3118569162898093)","('orders', 0.2973097503768573)","('carts', 0.019109452017871315)","('user', 0.012571481843576055)","('carts-db', 0.0)","('user-db', 0.0)"

queue-master,"('user', 0.64971003546875)","('orders', 0.17781057286411703)","('front-end', 0.17247939166713297)","('user-db', 0.0)"

rabbitmq,"('catalogue', 0.5418373669787102)","('front-end', 0.24594687899092674)","('carts', 0.1771313830212898)","('orders', 0.03508437100907325)","('carts-db', 0.0)","('catalogue-db', 0.0)"

session-db

shipping,"('orders', 0.3611584665616809)","('front-end', 0.2720915334383191)","('shipping', 0.19415593034823395)","('user', 0.08917461756603104)","('catalogue', 0.08341945208573504)","('user-db', 0.0)","('rabbitmq', 0.0)","('catalogue-db', 0.0)"

user-db,"('front-end', 0.5857295607538673)","('user', 0.21638939039018307)","('orders', 0.19788104885594962)","('orders-db', 0.0)","('shipping', 0.0)","('carts', 0.0)","('payment', 0.0)","('user-db', 0.0)"

user,"('front-end', 0.5871676699446013)","('user', 0.2126690253122766)","('orders', 0.2001633047431221)","('user-db', 0.0)","('orders-db', 0.0)","('payment', 0.0)","('shipping', 0.0)","('carts', 0.0)"

